Market ID;Result;Invested ($);PnL ($);PnL (%);Win;Loss
0x2a994b021227142099e775b7d9543436a1fc2428488fee1afdecd5ddb19a5fe0;WIN;100,59;4,61;4.58;1;0
0xeecaa764c8b49374363acc27014c5c5972f089f6528673dccd6974f2c6542827;LOSS;72,55;-23,55;-32.46;0;1
0xf2e7d53706ee26a1f63fc6e3e2dea6b06fce505584bb27701a1a743b7670c5d4;LOSS;51,50;-23,08;-44.82;0;1
0x5551c28a266d851935e7c56c9fc2e1f341328e34d557895bc9167d8e49da0daa;WIN;83,25;13,44;16.15;1;0
0xf6815096fbea318637c6776c9155d1c655589a9910c43c34b75a3b6c0fb8db60;LOSS;61,40;-15,64;-25.47;0;1
0x00d729502998e43db521ff1d865de027d0b2905afffdd5adfa96ac6068ea3edc;WIN;18,18;3,17;17.47;1;0
0x1c39b3ee3c2af156bb6a6f16a759955229276405e6e33aafd826c8766b29692b;WIN;15,24;2,01;13.20;1;0
0x50db95c19f8a1dbf87996d51983a1ec3240c11ab4f88fa0e9bc389a9f98fd416;WIN;32,12;4,51;14.03;1;0
0x72190da59fa9eddb2188f05bd11d9ae9ba362da472c68251bb3aefa488e6cf24;WIN;16,24;2,11;13.00;1;0
0x8c79b730648317032b55a3265b57b6a0926e5a92ec5d2a4693edf327422b2163;WIN;14,96;1,79;11.98;1;0
0x9f77b45a31d88eb31edb58cf1ad7295994db8b65a30c2c6f49865aabad209375;WIN;14,19;2,14;15.04;1;0
0x3efd40e768b33e15fcd880c82cfe817920b0d3dc9c450eedb041e40916e5b400;WIN;15,34;2,02;13.20;1;0
0xf5504d16d076ae095ec998f2f3d86ea9612b99599426f80c5943f796529387f1;WIN;12,18;1,78;14.61;1;0
0x1636bc3022ebde5d4276d2dbbd4b7446721f9d8677955c55a2ef32af854abcbf;WIN;15,03;2,16;14.36;1;0
0xeae21e8641feee91673a08011b386f2fa309fa09471526437b8e317198cbe71f;WIN;13,82;1,97;14.27;1;0
0xaca092066f9a3958dd5b83156c6855b57ecab2592a9e361c0872a48adb1bbd2e;WIN;101,77;10,21;10.03;1;0
0x2c568e24b6e7831633472eb34832f8802220f903664e21b1fbc26f9bb3a4ba31;WIN;37,27;5,83;15.66;1;0
0xd0909f230fe9c25676b35f81a1b2095ddc8c01073e11d8b3e2876d2402cb917a;WIN;102,96;10,48;10.17;1;0
0xe20b7037954fcda8a8b93b05cc3f55ce558a6a2e9af8e55ef200205f542cdbd9;WIN;14,29;2,40;16.76;1;0
0x646a5d5897e6aa8cd103fe497dc436888242965be13d86839247fc23cdb44993;WIN;24,78;3,79;15.31;1;0
0xdaf32b19f04a41368191caf1c540e7e6f0999a5d70283cda6b261958eac077ea;WIN;13,72;1,78;13.01;1;0
0x426caf7de11953dbd1ee315296cd7df3c4d43c1018161a8385c80b6967b803c9;WIN;39,96;2,80;7.01;1;0
0xc1c5bd64c1260e4a4b0997bc1af5a520a3192df96b3d9fb4e617ff1a27028069;WIN;21,73;8,27;38.07;1;0
0x193e6357e63dbc59451484872556b34032bda0a14f5cdaa05c97978ff6e0ce0f;WIN;94,26;19,12;20.28;1;0
0x32252cf8f6565fc764fa2c6cbb8849527d0f0ab7f8c0341aa1b5fed9a2a9ee32;WIN;16,43;2,22;13.54;1;0
0x7f000fe1f5b3cc6ac83e643c49bfa53693d6c9bcfa3209852ef591f3cd6c051d;WIN;16,83;3,44;20.45;1;0
0xd2450fb163823a47761887fccdc69c8313db0a7784853664be7d05aa2ea34cba;LOSS;74,24;-37,39;-50.36;0;1
0x9a67b4072656ea3258d0191010f6c2db0ded0954fd93e83a081323fcb02f8ad4;WIN;15,64;2,35;15.06;1;0
0x0dca76a1234dc3bf8112c80734bc6778c647a39684db9b211a0f72aa3ded3bcf;WIN;43,34;6,01;13.87;1;0
0x2f74a44263ff7cfc11f9b92c448110c876638ff3af081a29b87ad1854e455247;WIN;20,05;2,97;14.82;1;0
0x62c880974d9ee1f62a9ad4ed2315e631442459fadfe3a035a40b4c95b0d485c1;WIN;59,84;9,48;15.84;1;0
0xa53a8a0de9d2cf17a8ecd5f73b24d5f5cf73acf09559ef5bee4380b85e8529ae;WIN;16,93;2,25;13.31;1;0
0xee2dbf07f3940e2d1270011e5a9e4fcd468d3584ad353d6173ae3164f1e7d9c8;WIN;103,87;10,37;9.98;1;0
0x1d2716bbae8e514b6d08c06d135a0967b20e611d364e4e00f29d93096d3ea272;WIN;103,58;19,45;18.78;1;0
0x714cfa92502f87f5c71fa370961de97a4e8904ce28adc7b782cbafa1efbc81c7;WIN;63,10;10,65;16.89;1;0
