Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,05;0,05;0,35;80;-0,3;-0,08;103,54;21095,26;15;355;65;420
0,42;0,21;0,05;0,25;105;-0,3;-0,01;103,01;23523,62;15;371;49;420
0,42;0,21;0,05;0,3;105;-0,5;-0,08;103,01;20766,56;10;374;46;420
0,42;0,05;0,05;0,35;80;-0,5;-0,01;102,82;21095,98;15;355;65;420
0,42;0,21;0,15;0,2;105;-0,5;-0,08;100,1;23682,01;10;345;75;420
0,42;0,21;0,05;0,3;105;-0,3;-0,08;98,86;20770,71;10;374;46;420
0,42;0,05;0,05;0,35;80;-0,3;-0,01;98,51;21100,29;15;355;65;420
0,42;0,21;0,05;0,3;105;-0,5;-0,01;97,08;20772,49;10;374;46;420
0,42;0,21;0,15;0,2;105;-0,3;0,05;95,71;23333,01;10;347;73;420
0,42;0,01;0,1;0,3;60;-0,5;-0,01;94,6;16763,68;15;338;82;420
0,42;0,01;0,1;0,3;60;-0,5;0,05;94,41;16767,81;15;339;81;420
0,42;0,05;0,05;0,35;80;-0,5;0,05;94,01;21104,79;15;355;65;420
0,42;0,21;0,05;0,25;105;-0,3;0,05;93,98;23532,65;15;371;49;420
0,42;0,01;0,1;0,3;60;-0,5;-0,08;93,96;16759,77;15;338;82;420
0,42;0,01;0,1;0,3;60;-0,3;-0,01;93,87;16782,19;15;337;83;420
0,42;0,16;0,05;0,2;60;-0,5;-0,08;93,33;15587,03;15;362;58;420
0,42;0,16;0,05;0,2;60;-0,5;0,05;92,59;15596,36;15;363;57;420
0,42;0,16;0,05;0,2;60;-0,5;-0,01;92,39;15592,57;15;362;58;420
0,42;0,21;0,05;0,3;105;-0,3;-0,01;91,81;20777,76;10;374;46;420
0,42;0,21;0,05;0,3;105;-0,5;0,05;89,83;20779,74;10;374;46;420
0,42;0,16;0,05;0,25;80;-0,5;-0,01;88,92;16282,11;10;376;44;420
0,42;0,16;0,05;0,25;80;-0,5;-0,08;88,84;16282,19;10;376;44;420
0,42;0,05;0,05;0,35;80;-0,3;0,05;88,67;21110,13;15;355;65;420
0,42;0,01;0,1;0,3;60;-0,3;-0,08;88,53;16773,95;15;337;83;420
0,42;0,16;0,05;0,25;80;-0,5;0,05;86,82;16284,21;10;376;44;420
0,42;0,16;0,05;0,2;60;-0,3;-0,08;85,31;15595,05;15;362;58;420
0,42;0,21;0,05;0,3;105;-0,3;0,05;85,07;20784,5;10;374;46;420
0,42;0,16;0,05;0,2;60;-0,3;0,05;84,77;15604,18;15;363;57;420
0,42;0,16;0,05;0,2;60;-0,3;-0,01;83,53;15601,43;15;362;58;420
0,42;0,05;0,1;0,25;60;-0,5;0,05;69,03;15419,41;10;346;74;420
0,42;0,21;0,1;0,3;105;-0,5;-0,08;68,87;24091,93;10;354;66;420
0,42;0,21;0,15;0,2;105;-0,3;-0,08;67,21;23832,24;10;344;76;420
0,42;0,05;0,05;0,35;105;-0,5;-0,01;66,5;20984,13;10;371;49;420
0,42;0,05;0,05;0,35;105;-0,3;-0,01;65,19;20985,44;10;371;49;420
0,42;0,16;0,05;0,35;60;-0,5;-0,08;64,64;15604,22;10;358;62;420
0,42;0,05;0,05;0,35;105;-0,5;-0,08;64,6;20977,03;10;371;49;420
0,42;0,05;0,05;0,35;105;-0,3;-0,08;64,21;20977,42;10;371;49;420
0,42;0,21;0,1;0,3;105;-0,3;-0,08;63,92;24096,88;10;354;66;420
0,42;0,05;0,1;0,25;60;-0,5;-0,01;63,73;15420,7;10;345;75;420
0,42;0,05;0,1;0,25;60;-0,5;-0,08;63,32;15416,47;10;345;75;420
