ID Маркета;Исход первого входа;Цена первого входа;Признак Risk-Free;PnL (Сумма);PnL (%);Вложено всего
0xa8ef34c23b7969f54114493fa02b18feb97a3a162da231b42e8a458151c78419;Down;0,51;Нет;214,87;23,19;926,67
0xa8fae623bffd3f5776ca795cb621adf94b7bfafa791fa072dbff0e3838f2f709;Down;0,57;Нет;-2076,56;-20,80;9983,84
0xa9e64d5fd0cbde7f6ee086acd0c67bb2a6bd2e9f245a974626658f51dcd7013c;Up;0,51;Нет;62,49;3,16;1975,77
0xaa99f1d50bbcfe88488b41f147ded48fc9a187b334115328e9f0129ae2155b53;Up;0,60;Да;723,20;27,55;2625,02
0xaaa8ee781f2c6baf3179daefa143e12b035a7536b7a0e61eef1fc5733baf5c6e;Down;0,43;Да;44,02;3,34;1316,33
0xab49f2b2ab88d94cf8e9c8b7060c9c4bb72a1dfc61aac7d8de7807bd4da0e011;Down;0,43;Да;67,05;23,73;282,50
0xab7f152ff3b08ecf055e173cb5e93e1f7fbbcb839bca5dee603a31a5eeb2e34c;Up;0,62;Да;161,51;4,41;3662,79
0xab94903a24a0394a51dc599c0108803b2d04b76100485ac0d17f5d296ff9783e;Up;0,38;Да;-541,37;-9,06;5973,07
0xaba546b97c81181e12af413d59e12d3cc13ebc5cf19871fc56eef6493edf2555;Up;0,38;Да;34,01;1,97;1726,23
0xabaa9ea2aaa04d2097575869929400cb2cd8cacfe6cc57ef2528e1bc020b9d0d;Down;0,62;Нет;-327,88;-3,34;9804,57
0xac4d13570af7dd9d0d50c078cc64433f76086697cbbe21f7bf9bc2f9662604fe;Up;0,45;Нет;-795,80;-11,71;6796,32
0xac9d055fa3cb8e2420f123784d29087b7982c189e053bc5177091308781cdd91;Down;0,49;Да;556,70;34,62;1607,92
0xacf27647e4f93643162f9cc9a40e1c320fb1047f9ad1c8e1cbdae6cb756cd8e9;Up;0,57;Да;20,14;2,59;778,26
0xad29be0c7b1fac3e8b5f7d6be11e5add06831306a6efa1d19c1aa1b8d5041717;Up;0,59;Да;695,29;18,70;3717,23
0xada410548612b20620f86a07a1436cedf4b882ad59835b1bd2bea6667b2ae4df;Down;0,48;Нет;-5,16;-1,56;331,72
0xae2d2ec4143bd59b8c450525ef16b31285f125cff645d53de5e36c25af4e5a9a;Up;0,54;Нет;-541,45;-12,85;4214,96
0xae4717877de5d71a5f238d93e8e3c6ed1294c064a1eece2016e7de0c324ea81d;Up;0,36;Да;132,93;19,50;681,69
0xae840e623089dd99963e80862afb20bd5bad2a4ce7e1831eb919a6f75f9cbf03;Up;0,58;Нет;-4,43;-1,80;246,62
0xaed8b9df5df4233afe212d1735326114cedf8cebed3ca8d678682e990e269520;Down;0,47;Да;81,17;4,27;1901,50
0xaef46f1b4de25a40c1ea043b131bb6b380e739a2d2f5cec354a54389d830d052;Down;0,51;Да;241,86;24,49;987,51
0xaef9e140b3c4493ad02ddce316ff62ed9bd532ef983c83023f7a87e525553127;Up;0,60;Нет;161,30;1,32;12246,02
0xaffc237e6f5be2a281d07c75f23fed58872410a93ce41ef6f94ee51390c4af16;Down;0,36;Нет;-6,88;-2,59;265,78
0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5;Down;0,43;Да;1573,06;51,37;3062,29
0xb041ac23593bf13019d9aabf706c9abdb5b514155cec8ac7db157bb0d73b717f;Down;0,02;Да;0,08;0,03;304,68
0xb070587a01a87f36a8f35616b3c3767def89a9d41f162ba4b38c54b22b4e20c4;Up;0,33;Нет;-61,99;-7,47;829,85
0xb0e8c7ca6401a425eb92ba82d35e4bb07061b503cd2122ac0b39085786e9d5e6;Down;0,79;Нет;-6,54;-3,02;216,53
0xb12f18aef97802fd284ebdb0907d43c5aa0d43f66d6cc7a7ca6329ba5fef881b;Up;0,43;Да;1357,77;54,09;2510,22
0xb15455abf9d5711037a6e12aebffe5c667885513cf459f35c8823a3485a6b9c7;Up;0,33;Нет;-191,41;-17,39;1100,93
0xb157e14153ffac0bf8038a47b5980884b1b1adaa75943d635890faf64726cc3e;Up;0,46;Да;3,68;1,13;324,88
0xb198cfc151d107a4d663cc6dddc0eda6bbd00411dbf84cfe16d238be15d5a381;Up;0,30;Нет;85,27;19,26;442,77
0xb202b2494c035f15ad8402f4f76f30bf6324c23d4c1e9ed78e59123232ec178e;Up;0,46;Нет;-281,66;-16,91;1665,98
0xb21703a6a2c3be2cafb31a74afda3f81687febd0a5e6bf8021f853ca9b132afa;Up;0,70;Да;140,51;19,67;714,47
0xb23c9fc4f3a923efc4c5810f2fca109b6e3b69f08a1c89b13d5199c94470d1f6;Down;0,55;Да;59,82;56,36;106,13
0xb2aeadc89ca6cff27e57fed940b1559e9dde204b66f8d692a23cc39e13de745d;Up;0,42;Нет;-251,01;-5,10;4921,43
0xb3131c0d5e8d42310eb1b3bb221aa81dd229fa818846a4e71f862ec8ecf0cafa;Up;0,57;Нет;27,50;0,53;5231,91
0xb42b616844c5738ca93e6d8795adc1ed925c8e5cc67338b874536df679ca789f;Up;0,65;Нет;-262,90;-11,23;2341,60
0xb48e5fe061c7283f3fccacd40048009fbacfea82df8a4bf992e9650aaac72754;Up;0,41;Да;258,81;29,17;887,16
0xb4991ef2eaf12bd7c7180ccd5554c2b26d2a1e4060685363c9568e0c7541c433;Up;0,55;Нет;-26,71;-8,65;308,76
